id,prop_type,player_name,player_team,defensive_matchup,sports_book,name,price,points,nba_api_player_id
9ce22ce34e34669f699bbddee679ad09,player_threes,Kyrie Irving,DAL,PHI,fanduel,Over,-170,2.5,202681
9ce22ce34e34669f699bbddee679ad09,player_threes,Kyrie Irving,DAL,PHI,fanduel,Under,132,2.5,202681
9ce22ce34e34669f699bbddee679ad09,player_threes,Christian Wood,DAL,PHI,fanduel,Over,124,1.5,1626174
9ce22ce34e34669f699bbddee679ad09,player_threes,Christian Wood,DAL,PHI,fanduel,Under,-158,1.5,1626174
9ce22ce34e34669f699bbddee679ad09,player_threes,P.J Tucker,,,fanduel,Over,-205,0.5,
9ce22ce34e34669f699bbddee679ad09,player_threes,P.J Tucker,,,fanduel,Under,158,0.5,
9ce22ce34e34669f699bbddee679ad09,player_threes,James Harden,PHI,DAL,fanduel,Over,-142,2.5,201935
9ce22ce34e34669f699bbddee679ad09,player_threes,James Harden,PHI,DAL,fanduel,Under,112,2.5,201935
9ce22ce34e34669f699bbddee679ad09,player_threes,Reggie Bullock,DAL,PHI,fanduel,Over,-142,1.5,203493
9ce22ce34e34669f699bbddee679ad09,player_threes,Reggie Bullock,DAL,PHI,fanduel,Under,112,1.5,203493
9ce22ce34e34669f699bbddee679ad09,player_threes,Christian Wood,DAL,PHI,draftkings,Over,125,1.5,1626174
9ce22ce34e34669f699bbddee679ad09,player_threes,Christian Wood,DAL,PHI,draftkings,Under,-155,1.5,1626174
9ce22ce34e34669f699bbddee679ad09,player_threes,De'Anthony Melton,PHI,DAL,draftkings,Over,-110,1.5,1629001
9ce22ce34e34669f699bbddee679ad09,player_threes,De'Anthony Melton,PHI,DAL,draftkings,Under,-120,1.5,1629001
9ce22ce34e34669f699bbddee679ad09,player_threes,James Harden,PHI,DAL,draftkings,Over,-140,2.5,201935
9ce22ce34e34669f699bbddee679ad09,player_threes,James Harden,PHI,DAL,draftkings,Under,110,2.5,201935
9ce22ce34e34669f699bbddee679ad09,player_threes,Joel Embiid,PHI,DAL,draftkings,Over,-145,0.5,203954
9ce22ce34e34669f699bbddee679ad09,player_threes,Joel Embiid,PHI,DAL,draftkings,Under,115,0.5,203954
9ce22ce34e34669f699bbddee679ad09,player_threes,Kyrie Irving,DAL,PHI,draftkings,Over,-145,2.5,202681
9ce22ce34e34669f699bbddee679ad09,player_threes,Kyrie Irving,DAL,PHI,draftkings,Under,115,2.5,202681
9ce22ce34e34669f699bbddee679ad09,player_threes,Luka Doncic,DAL,PHI,draftkings,Over,-140,2.5,1629029
9ce22ce34e34669f699bbddee679ad09,player_threes,Luka Doncic,DAL,PHI,draftkings,Under,110,2.5,1629029
9ce22ce34e34669f699bbddee679ad09,player_threes,P.J. Tucker,PHI,DAL,draftkings,Over,-185,0.5,200782
