id,home_team,away_team,site,over_under,odds
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,bovada,235.0,235.0
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,fanduel,235,235
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,betmgm,234.5,234.5
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,mybookieag,234.5,234.5
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,betrivers,236.0,236.0
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,barstool,236.0,236.0
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,sugarhouse,236.0,236.0
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,twinspires,236.0,236.0
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,unibet_us,236.0,236.0
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,pointsbetus,235.0,235.0
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,foxbet,234.5,234.5
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,circasports,234.5,234.5
98852ac5fb303e1635b1737cbc391cd4,Oklahoma City Thunder,New Orleans Pelicans,superbook,235.5,235.5
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,draftkings,233.0,233.0
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,betus,233.5,233.5
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,betonlineag,233.5,233.5
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,williamhill_us,233.5,233.5
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,lowvig,233.5,233.5
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,bovada,233.5,233.5
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,fanduel,233.5,233.5
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,circasports,233.0,233.0
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,betmgm,232.5,232.5
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,mybookieag,233,233
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,superbook,232.5,232.5
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,betrivers,232.5,232.5
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,barstool,232.5,232.5
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,sugarhouse,232.5,232.5
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,twinspires,232.5,232.5
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,unibet_us,232.5,232.5
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,pointsbetus,233.5,233.5
6e360f965fafd85f2e7717a192c9571e,Dallas Mavericks,Minnesota Timberwolves,foxbet,232.5,232.5
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,draftkings,233.5,233.5
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,betus,233.5,233.5
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,fanduel,233.5,233.5
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,betrivers,234.0,234.0
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,barstool,234.0,234.0
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,sugarhouse,234.0,234.0
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,twinspires,234.0,234.0
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,unibet_us,234.0,234.0
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,williamhill_us,234.0,234.0
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,pointsbetus,233.5,233.5
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,betmgm,233.5,233.5
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,bovada,234.5,234.5
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,foxbet,233.5,233.5
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,mybookieag,233.5,233.5
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,wynnbet,234.0,234.0
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,circasports,233.5,233.5
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,betonlineag,233.5,233.5
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,lowvig,233.5,233.5
44fa810dfa94e241c4ecdddbb6a3168c,Golden State Warriors,Washington Wizards,superbook,234.0,234.0
f1f40917311c49ea9e743bf17b403e5b,Portland Trail Blazers,Los Angeles Lakers,fanduel,238.5,238.5
